action;user_id;lastname;firstname;username;password;auth_source;email;status;admin;official_code;phone;picture_uri;creator_id;language;disk_quota;database_quota;version_quota;theme;activation_date;expiration_date;registration_date;active
D;198;Okita;Souji;Okita;ae12e345f679aaf;platform;shinouchi@gmail.com;1;;ADMIN;;;;english;209715200;300;20;;0;0;1237971672;1
D;197;Doe;Jane;HetePoes;ae12e345f679aaf;platform;admin@localhost.localdomain;1;;ADMIN;;;;english;209715200;300;20;;0;0;1237971671;1
D;195;Doe;John;Underdog;ae12e345f679aaf;platform;john.doe@nowhere.org;1;;TEST_USER;;;;english;209715200;300;20;;0;0;1237971669;1
D;196;Fred;Mr;Maaike;ae12e345f679aaf;platform;admin@localhost.localdomain;1;;ANONYMOUS;;;;english;209715200;300;20;;0;0;1237971670;1
D;193;Fred;Mr;Suske;ae12e345f679aaf;platform;admin@localhost.localdomain;1;;ANONYMOUS;;;;english;209715200;300;20;;0;0;1237971667;1
D;194;Doe;Jane;Bommel;ae12e345f679aaf;platform;admin@localhost.localdomain;1;;ADMIN;;;;english;209715200;300;20;;0;0;1237971668;1
D;192;Doe;John;Wiske;ae12e345f679aaf;platform;john.doe@nowhere.org;1;;TEST_USER;;;;english;209715200;300;20;;0;0;1237971666;1
D;191;Doe;Jane;Stefaan;ae12e345f679aaf;platform;admin@localhost.localdomain;1;;ADMIN;;;;english;209715200;300;20;;0;0;1237971664;1
D;190;Fred;Mr;Michael;ae12e345f679aaf;platform;admin@localhost.localdomain;1;;ANONYMOUS;;;;english;209715200;300;20;;0;0;1237971663;1
D;189;Doe;John;Stefan;ae12e345f679aaf;platform;john.doe@nowhere.org;1;;TEST_USER;;;;english;209715200;300;20;;0;0;1237971662;1
D;187;Fred;Mr;Sven;ae12e345f679aaf;platform;admin@localhost.localdomain;1;;ANONYMOUS;;;;english;209715200;300;20;;0;0;1237971660;1
D;188;Doe;Jane;Nick;ae12e345f679aaf;platform;admin@localhost.localdomain;1;;ADMIN;;;;english;209715200;300;20;;0;0;1237971661;1
D;185;Doe;Jane;Venom;ae12e345f679aaf;platform;admin@localhost.localdomain;1;;ADMIN;;;;english;209715200;300;20;;0;0;1237971658;1
D;186;Doe;John;JamesBond;ae12e345f679aaf;platform;john.doe@nowhere.org;1;;TEST_USER;;;;english;209715200;300;20;;0;0;1237971659;1
D;184;Fred;Mr;Carnage;ae12e345f679aaf;platform;admin@localhost.localdomain;1;;ANONYMOUS;;;;english;209715200;300;20;;0;0;1237971657;1
D;183;Doe;John;JohnConnor;ae12e345f679aaf;platform;john.doe@nowhere.org;1;;TEST_USER;;;;english;209715200;300;20;;0;0;1237971656;1
D;182;Doe;Jane;Magneto;ae12e345f679aaf;platform;admin@localhost.localdomain;1;;ADMIN;;;;english;209715200;300;20;;0;0;1237971654;1
D;181;Fred;Mr;Storm;ae12e345f679aaf;platform;admin@localhost.localdomain;1;;ANONYMOUS;;;;english;209715200;300;20;;0;0;1237971653;1
D;178;Fred;Mr;Superman;ae12e345f679aaf;platform;admin@localhost.localdomain;1;;ANONYMOUS;;;;english;209715200;300;20;;0;0;1237971650;1
D;179;Doe;Jane;Wolverine;ae12e345f679aaf;platform;admin@localhost.localdomain;1;;ADMIN;;;;english;209715200;300;20;;0;0;1237971651;1
D;180;Doe;John;Cyclops;ae12e345f679aaf;platform;john.doe@nowhere.org;1;;TEST_USER;;;;english;209715200;300;20;;0;0;1237971652;1
D;177;Doe;John;Batman;ae12e345f679aaf;platform;john.doe@nowhere.org;1;;TEST_USER;;;;english;209715200;300;20;;0;0;1237971649;1
D;176;Doe;Jane;Iceman;ae12e345f679aaf;platform;admin@localhost.localdomain;1;;ADMIN;;;;english;209715200;300;20;;0;0;1237971648;1
D;174;Doe;John;CaptainPlanet;ae12e345f679aaf;platform;john.doe@nowhere.org;1;;TEST_USER;;;;english;209715200;300;20;;0;0;1237971646;1
D;175;Fred;Mr;Terminator;ae12e345f679aaf;platform;admin@localhost.localdomain;1;;ANONYMOUS;;;;english;209715200;300;20;;0;0;1237971647;1
D;173;Doe;Jane;Mr.America;ae12e345f679aaf;platform;admin@localhost.localdomain;1;;ADMIN;;;;english;209715200;300;20;;0;0;1237971644;1
D;169;Fred;Mr;Ironman;ae12e345f679aaf;platform;admin@localhost.localdomain;1;;ANONYMOUS;;;;english;209715200;300;20;;0;0;1237971640;1
D;172;Fred;Mr;DareDevil;ae12e345f679aaf;platform;admin@localhost.localdomain;1;;ANONYMOUS;;;;english;209715200;300;20;;0;0;1237971643;1
D;171;Doe;John;Hulk;ae12e345f679aaf;platform;john.doe@nowhere.org;1;;TEST_USER;;;;english;209715200;300;20;;0;0;1237971642;1
D;170;Doe;Jane;Spiderman;ae12e345f679aaf;platform;admin@localhost.localdomain;1;;ADMIN;;;;english;209715200;300;20;;0;0;1237971641;1


